[63985,756984] [73065,788021]
[46062,145054] [19942,125979]
[670999,428059] [701020,415950]
[70964,631008] [76068,598992]
[153902,520996] [160033,553017]
[717991,696013] [747022,680988]
[674034,220003] [652963,194911]
[861994,688048] [883037,662921]
[193965,195985] [226063,203041]
[413072,168976] [395987,197057]
[284065,726960] [276849,759042]
[934973,415036] [963039,397895]
[517885,421958] [535031,450067]
[671013,805891] [644948,826111]
[879998,647197] [911018,635916]
[117199,215996] [116878,249007]
[547227,644988] [546819,678004]
[998238,545996] [994967,579015]
[187143,360989] [183816,394013]
[59122,714003] [49900,681974]
[850007,398028] [831976,369963]
[613072,979038] [594985,950984]
[125011,118991] [119849,152020]
[736095,141007] [729820,107987]
[121007,106119] [87990,99796]
[802990,99961] [833050,115019]
[882031,86051] [849996,75826]
[483885,538055] [494012,505988]
[175003,581954] [143988,595008]
[201107,328979] [187978,360032]
[284974,726041] [302126,696935]
[528004,366986] [504960,392006]
[317013,213918] [283994,222183]
[871988,16140] [906002,14846]
[198980,32020] [224098,8971]
[215987,683872] [250007,686215]
[904988,599984] [919097,631043]
[304996,990032] [319141,958985]
